vocabulary,ni,occurrences
2.1,1,"[['60', 1]]"
2.1a,1,"[['2', 1]]"
2.2,5,"[['3', 2], ['11', 1], ['15', 2], ['16', 1], ['18', 1]]"
2.24,1,"[['15', 1]]"
2.3%,1,"[['16', 1]]"
2351,1,"[['2', 1]]"
2.4,3,"[['3', 2], ['11', 2], ['15', 1]]"
2400,2,"[['11', 1], ['15', 1]]"
2414,1,"[['2', 1]]"
2488,1,"[['2', 1]]"
2.4g,2,"[['16', 1], ['18', 1]]"
2603,1,"[['2', 1]]"
2.96,1,"[['3', 2]]"
2971,3,"[['2', 3], ['3', 2], ['7', 2]]"
2972,1,"[['4', 2]]"
2986,4,"[['2', 3], ['3', 3], ['4', 3], ['7', 2]]"
20%,1,"[['22', 1]]"
20.,1,"[['10', 1]]"
20779,1,"[['9', 2]]"
2000mah,1,"[['16', 1]]"
200gb,1,"[['9', 1]]"
"203,39",1,"[['22', 1]]"
20h,2,"[['22', 1], ['43', 1]]"
20mp,4,"[['2', 1], ['8', 2], ['15', 1], ['18', 2]]"
20w,1,"[['2', 1]]"
"21,541",1,"[['9', 1]]"
210gd,1,"[['2', 2]]"
"214,75",1,"[['21', 1]]"
2160p,1,"[['3', 1]]"
"218,72",1,"[['22', 1]]"
22.06.2021,1,"[['3', 1]]"
"235,54",1,"[['22', 1]]"
23h,1,"[['22', 1]]"
"242,48",1,"[['21', 1]]"
"244,6",1,"[['22', 1]]"
"249,87",1,"[['22', 1]]"
24w,1,"[['18', 1]]"
25%,1,"[['1', 1]]"
256gb,10,"[['2', 8], ['3', 4], ['4', 6], ['7', 5], ['8', 1], ['18', 1], ['22', 16], ['43', 1], ['60', 2], ['64', 2]]"
2700mah,1,"[['16', 1]]"
"275,71",1,"[['23', 1]]"
"275,76",1,"[['22', 1]]"
27ul500,1,"[['60', 1]]"
28h,1,"[['18', 1]]"
2999mah,1,"[['16', 1]]"
"2g,3g,4g",3,"[['11', 1], ['16', 1], ['18', 1]]"
"2g,3g,4g,5g",1,"[['15', 1]]"
2gb,6,"[['16', 2], ['24', 1], ['68', 2], ['70', 2], ['71', 3], ['74', 2]]"
2gbram,1,"[['16', 2]]"
2gbram.,1,"[['24', 1]]"
2metros,1,"[['2', 2]]"
2mp,5,"[['2', 5], ['8', 1], ['11', 1], ['16', 1], ['18', 1]]"
2nd,1,"[['22', 2]]"
2x4gb,1,"[['60', 1]]"
3,1,"[['3', 1]]"
3,1,"[['10', 1]]"
"3,459",1,"[['9', 1]]"
"3,5",4,"[['11', 1], ['15', 1], ['16', 1], ['22', 1]]"
"3,6",3,"[['3', 1], ['4', 1], ['7', 2]]"
"3,9",3,"[['3', 1], ['4', 1], ['7', 1]]"
3.0,2,"[['11', 1], ['15', 2]]"
3.1,1,"[['2', 1]]"
3293,1,"[['2', 1]]"
3323,1,"[['2', 1]]"
3744,1,"[['21', 1]]"
3.744.,1,"[['21', 1]]"
3864,1,"[['2', 2]]"
3.9,1,"[['24', 1]]"
3000mah,2,"[['68', 2], ['74', 2]]"
"303,57",1,"[['22', 1]]"
304q,1,"[['60', 1]]"
30fps,2,"[['3', 1], ['15', 3]]"
"325,69",1,"[['21', 1]]"
32gb,7,"[['2', 1], ['8', 3], ['22', 16], ['23', 4], ['60', 1], ['70', 1], ['75', 2]]"
"32gb,ram",5,"[['2', 1], ['68', 2], ['70', 2], ['71', 3], ['74', 2]]"
32mp,1,"[['8', 2]]"
3312a,1,"[['23', 1]]"
33w,1,"[['15', 1]]"
33w.,1,"[['3', 1]]"
3400g,1,"[['60', 1]]"
"353,42",1,"[['21', 1]]"
36%,1,"[['22', 1]]"
"364,74",1,"[['22', 1]]"
"365,4",1,"[['24', 1]]"
"373,28",1,"[['22', 1]]"
"381,15",1,"[['21', 1]]"
3cm,1,"[['15', 1]]"
3gb,1,"[['2', 1]]"
3gbram,2,"[['2', 1], ['8', 1]]"
4,4,"[['3', 5], ['7', 7], ['8', 3], ['9', 1]]"
"4,1",4,"[['3', 3], ['4', 3], ['7', 3], ['9', 1]]"
"4,2",4,"[['3', 2], ['4', 1], ['7', 2], ['8', 1]]"
"4,3",1,"[['8', 2]]"
"4,4",3,"[['2', 1], ['8', 1], ['9', 1]]"
"4,5",4,"[['2', 2], ['8', 2], ['9', 6], ['22', 17]]"
"4,6",5,"[['2', 1], ['3', 1], ['7', 1], ['8', 1], ['9', 3]]"
"4,7",4,"[['2', 3], ['4', 2], ['8', 4], ['9', 4]]"
